ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13805393,JJ217716,04/14/2025 12:40:00 PM,0000X N PULASKI RD,2027,NARCOTICS,POSSESS - CRACK,SIDEWALK,TRUE,FALSE,1122,11,28,26,18,1149726,1899823,2025,04/22/2025 03:41:56 PM,41.88102969,-87.72567839,"(41.881029689, -87.725678391)"
13805392,JJ217712,04/14/2025 12:38:00 PM,007XX S CALIFORNIA AVE,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,TRUE,FALSE,1135,11,28,27,18,1157823,1896460,2025,04/22/2025 03:41:56 PM,41.87164012,-87.69603831,"(41.871640121, -87.696038308)"
13805436,JJ217727,04/14/2025 12:37:00 PM,015XX N CENTRAL AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,2531,25,29,25,6,1138712,1909741,2025,04/22/2025 03:41:56 PM,41.90845279,-87.76588076,"(41.908452786, -87.765880756)"
13805500,JJ217764,04/14/2025 12:35:00 PM,103XX S EMERALD AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,TRUE,2232,22,21,49,6,1173134,1836343,2025,04/22/2025 03:41:56 PM,41.70634685,-87.64160163,"(41.706346848, -87.64160163)"
13805529,JJ217719,04/14/2025 12:35:00 PM,056XX N HARLEM AVE,554,ASSAULT,"AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY",STREET,TRUE,FALSE,1612,16,41,10,08A,1127369,1936913,2025,04/22/2025 03:41:56 PM,41.98321433,-87.80693717,"(41.983214326, -87.806937165)"
13808119,JJ220740,04/14/2025 12:30:00 PM,133XX S EBERHART AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,FALSE,533,5,10,54,26,1181911,1816739,2025,04/22/2025 03:41:56 PM,41.65235271,-87.61006351,"(41.652352706, -87.61006351)"
13805499,JJ217774,04/14/2025 12:26:00 PM,057XX N BROADWAY,870,THEFT,POCKET-PICKING,GAS STATION,FALSE,FALSE,2022,20,48,77,6,1167278,1938038,2025,04/22/2025 03:41:56 PM,41.98553449,-87.66012681,"(41.985534487, -87.660126814)"
13805461,JJ217698,04/14/2025 12:26:00 PM,046XX S DREXEL BLVD,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,FALSE,FALSE,222,2,4,39,26,1183099,1874530,2025,04/22/2025 03:41:56 PM,41.81091041,-87.60392487,"(41.810910406, -87.603924867)"
13805639,JJ217919,04/14/2025 12:26:00 PM,076XX S ST LAWRENCE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,624,6,6,69,14,1181556,1854564,2025,04/22/2025 03:41:56 PM,41.75615765,-87.61020028,"(41.756157645, -87.610200284)"
13806322,JJ218793,04/14/2025 12:25:00 PM,038XX N PARIS AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,FALSE,TRUE,1631,16,38,17,26,1121045,1924513,2025,04/22/2025 03:41:56 PM,41.94929155,-87.83046381,"(41.949291551, -87.830463814)"
